# (c) Der Bundeswahlleiter, Wiesbaden 2017
# 
# Wahl zum 19. Deutschen Bundestag (24. September 2017)
# Endgültige Ergebnisse der Erst- und Zweitstimmen sowie der Vorperiode nach Wahlkreisen
# 
Nr;Gebiet;gehört zu;Wahlberechtigte;;;;Wähler;;;;Ungültige;;;;Gültige;;;;Christlich Demokratische Union Deutschlands;;;;Sozialdemokratische Partei Deutschlands;;;;DIE LINKE;;;;BÜNDNIS 90/DIE GRÜNEN;;;;Christlich-Soziale Union in Bayern e.V.;;;;Freie Demokratische Partei;;;;Alternative für Deutschland;;;;Piratenpartei Deutschland;;;;Nationaldemokratische Partei Deutschlands;;;;FREIE WÄHLER;;;;PARTEI MENSCH UMWELT TIERSCHUTZ;;;;Ökologisch-Demokratische Partei;;;;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;;;;Bayernpartei;;;;Ab jetzt...Demokratie durch Volksabstimmung;;;;Partei der Vernunft;;;;Marxistisch-Leninistische Partei Deutschlands;;;;Bürgerrechtsbewegung Solidarität;;;;Sozialistische Gleichheitspartei, Vierte Internationale;;;;DIE RECHTE;;;;Allianz Deutscher Demokraten;;;;Allianz für Menschenrechte, Tier- und Naturschutz;;;;bergpartei, die überpartei;;;;Bündnis Grundeinkommen;;;;DEMOKRATIE IN BEWEGUNG;;;;Deutsche Kommunistische Partei;;;;Deutsche Mitte;;;;Die Grauen – Für alle Generationen;;;;Die Urbane. Eine HipHop Partei;;;;Magdeburger Gartenpartei;;;;Menschliche Welt;;;;Partei der Humanisten;;;;Partei für Gesundheitsforschung;;;;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer;;;;Bündnis C - Christen für Deutschland;;;;DIE EINHEIT;;;;Die Violetten;;;;Familien-Partei Deutschlands;;;;Feministische Partei DIE FRAUEN;;;;Mieterpartei;;;;Neue Liberale – Die Sozialliberalen;;;;UNABHÄNGIGE für bürgernahe Demokratie;;;;Übrige;;;;
29;Cuxhaven – Stade II;3;187679;187640;187679;187640;141726;137151;141726;137151;1433;1490;1007;1184;140293;135661;140719;135967;59930;63431;54163;59699;43077;49395;38923;45534;8121;4904;9121;6241;8491;8326;9709;9592;;;;;6984;1872;11483;4924;11862;4034;12650;4753;;2120;410;1968;;1306;396;1270;1828;;907;586;;;1338;1074;;;106;;;;890;;;;;;;;;;;;;;;;26;42;;;;;;;;;;;;;;;;;;;;;;;;;;;163;;;;100;;;;20;;;;181;;;;;;;;;;;;;;;;;;;;;;;;;;;;133;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;273;;284;
30;Stade I – Rotenburg II;3;197297;194958;197297;194958;153044;145131;153044;145131;1192;1161;849;947;151852;143970;152195;144184;67463;68545;59229;64472;42829;49111;37361;44598;7994;4878;9564;6021;10613;9099;12511;11209;;;;;8797;2505;14538;6023;12590;5632;13513;6531;1334;1985;645;2131;;1457;555;1302;;758;778;620;;;1335;979;;;139;;;;1147;;;;;;;;;;;;;;;;29;17;;;;;;;;;;;;;;;;;;;;;;;;;;;262;;;;196;;;;23;;;;193;;;;;;;;;;;;;;;;;;;;;;;;;;;;177;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;232;;;281;
31;Mittelems;3;230151;228051;230151;228051;179811;170444;179811;170444;1187;1571;959;1206;178624;168873;178852;169238;95815;99705;88310;94923;47107;48903;41983;44069;6813;4543;8167;5107;8900;8393;10803;9160;;;;;10089;2673;16181;7032;8949;3777;9701;4331;;;385;2456;;879;285;790;;;271;285;;;939;767;;;238;;951;;984;;;;;;;;;;;;;;;;35;20;;;;;;;;;;;;;;;;;;;;;;;;;;;136;;;;134;;;;27;;;;146;;;;;;;;;;;;;;;;;;;;;;;;;;;;127;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;298;
32;Cloppenburg – Vechta;3;220042;216300;220042;216300;163669;153769;163669;153769;1550;1416;1153;1205;162119;152353;162516;152564;93545;101015;86301;96401;32997;32422;28870;30168;6640;3821;7145;4259;7034;5702;8207;6488;;;;;8306;2812;15298;7073;12683;3238;13145;3576;;;381;1816;;870;308;877;914;1451;530;799;;;803;681;;;110;;;;868;;;;;;;;;;;;;;;;21;21;;;;;;;;;;;;;;;;;;;;;;;;;;;91;;;;105;;;;18;;;;181;;;;;;;;;;;;;;;;;;;;;;;;;;;;134;;;;;;;;;;;;;;;1022;;;;;;;;;;;;;;;;;;;;;;405;
33;Diepholz – Nienburg I;3;193934;193097;193934;193097;148298;142350;148298;142350;1480;1496;1020;1215;146818;140854;147278;141135;65465;66862;55833;61404;40102;47067;37505;44431;7759;4933;8951;6359;11252;10651;11992;11556;;;;;10285;2797;15515;6929;11955;3571;12434;4840;;2166;476;2143;;1288;366;1175;;903;668;673;;;1353;1196;;;219;;;;1104;;;;;;;;;;;;;;;;28;21;;;;;;;;;;;;;;;;;;;;;;;;;;;258;;;;162;;;;17;;;;206;;;;;;;;;;;;;;;;;;;;;;;;;;;;191;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;616;;408;
34;Osterholz – Verden;3;196136;193643;196136;193643;153036;144923;153036;144923;1268;1502;1238;1708;151768;143421;151798;143215;59560;63174;53035;57243;48505;53660;40047;47413;10714;7195;11055;8008;10146;9729;14052;13708;;;;;8273;1359;13464;5235;12995;4499;14675;5487;;2516;560;2655;;1289;354;1321;1072;;631;392;;;1445;1250;;;125;;;;1252;;;;;;;;;;;;;;;;35;58;;;;;;;;;;;;;;;;;;;;;;;;;;;343;;;;228;;;;19;;;;284;;;;;;;;;;;;;;;;;;;;;;;;;;;;194;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;503;;;445;
35;Rotenburg I – Heidekreis;3;168101;167867;168101;167867;127071;122823;127071;122823;974;1317;967;994;126097;121506;126104;121829;45510;54448;47558;53163;51938;49301;34211;38018;5219;4758;7422;5572;6053;6026;10068;10332;;;;;5659;2097;10699;4930;10331;;11671;4586;;1875;396;1722;;1617;447;1275;1387;1384;770;796;;;1145;1028;;;114;;;;877;;;;;;;;;;;;;;;;34;22;;;;;;;;;;;;;;;;;;;;;;;;;;;188;;;;138;;;;10;;;;219;;;;;;;;;;;;;;;;;;;;;;;;;;;;137;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;385;
36;Harburg;3;199081;194856;199081;194856;161837;152819;161837;152819;1325;1416;982;1219;160512;151403;160855;151600;65223;68458;57815;64905;44017;47908;35377;42915;8638;5472;10117;6641;14565;10754;16410;14078;;;;;10458;5110;18839;7382;14826;8704;16047;9069;;2376;475;2499;;1112;358;1193;2785;1509;1340;1145;;;1632;1366;;;198;;;;1238;;;;;;;;;;;;;;;;35;33;;;;;;;;;;;;;;;;;;;;;;;;;;;209;;;;240;;;;31;;;;201;;;;;;;;;;;;;;;;;;;;;;;;;;;;293;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;374;
37;Lüchow-Dannenberg – Lüneburg;3;180865;179069;180865;179069;141000;133574;141000;133574;1382;1375;861;1158;139618;132199;140139;132416;46740;52644;43861;48756;39169;44491;32865;38415;11729;7784;12705;9202;20604;15918;18906;18892;;;;;9245;2112;12959;5281;12131;4925;12498;5852;;2879;486;3000;;1240;395;1145;;;552;402;;;1506;1081;;;250;;;;1387;;;;;;;;;;;;;;;;36;30;;;;;;;;;;;;;;;;;;;;;;;;;;;881;;;;312;;;;36;;;;263;;;;;;;;;;;;;;;;;;;;;;;;;;;;241;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;206;;360;
38;Osnabrück-Land;3;199131;197532;199131;197532;151302;144853;151302;144853;1226;1390;1107;1120;150076;143463;150195;143733;68379;76179;60737;68972;42438;46365;38529;42214;7908;5162;9156;5783;11613;8330;12346;11046;;;;;9576;2546;14603;6599;9934;;10940;4060;;2526;490;2188;;1135;322;968;;816;381;478;;;958;801;;;119;;;;902;;;;;;;;;;;;;;;;19;23;;;;;;;;;;;;;;;;;;;;;;;;;;;205;;;;140;;;;29;;;;168;;;;;;;;;;;;;;;;;;;;;;;;;;;;151;;228;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;404;;601;
39;Stadt Osnabrück;3;196720;194231;196720;194231;152107;142840;152107;142840;2699;1919;938;1641;149408;140921;151169;141199;60185;64416;53977;60754;47279;49059;37336;43099;12521;5840;12759;7188;15108;12568;18353;15390;;;;;13353;3934;14309;5874;;;9499;3765;;3102;702;2794;;884;211;652;;828;344;472;;;933;815;;;173;;;;1361;;;;;;;;;;;;;;;;28;33;;;;;;;;;;;;;;;;;;;;;;;;;;;402;;;;264;;962;;77;;;;232;;;;;;;;;;;;;;;;;;;;;;;;;;;;209;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;290;;363;
40;Nienburg II – Schaumburg;3;194800;195948;194800;195948;146673;141773;146673;141773;1196;1464;1019;1156;145477;140309;145654;140617;59128;58349;49896;56279;47615;62641;43307;51043;6530;4649;8289;6006;11206;8173;11831;11370;;;;;6539;1950;12430;4993;13292;;14945;5514;1167;2693;545;2108;;1854;406;1216;;;469;436;;;1467;1129;;;119;;;;1066;;;;;;;;;;;;;;;;46;41;;;;;;;;;;;;;;;;;;;;;;;;;;;191;;;;171;;;;21;;;;278;;;;;;;;;;;;;;;;;;;;;;;;;;;;177;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;482;
41;Stadt Hannover I;3;179883;181122;179883;181122;134805;129867;134805;129867;1390;1888;956;1868;133415;127979;133849;127999;39487;46650;36401;42910;47549;55711;36645;45441;9579;6435;12470;7993;12102;9876;16292;15718;;;;;8734;1889;13658;6043;11364;4051;12226;4654;1231;2434;768;2434;;;244;808;668;790;409;505;;;1222;988;;;162;;2401;;1768;;;;;;;;;;;;;;163;143;78;78;;;;;;;;;;;;;;;;;;;;;;;;;;;365;;;;297;;137;;79;;;;545;;;;;;;;;;;;;;;;;;;;;;;;;;;;220;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;427;
42;Stadt Hannover II;3;193433;193157;193433;193157;149031;141215;149031;141215;1407;1871;940;1925;147624;139344;148091;139290;42713;47180;36203;41684;49744;59686;37964;48292;13775;8657;17823;11129;16486;14229;22079;21559;;;;;8165;2050;14735;5983;10590;3802;11241;4749;1516;2937;968;3113;;803;186;736;;;355;398;;;1342;1171;;;186;;4168;;2966;;;;;;;;;;;;;;235;;127;95;;;;;;;;;;;;;;;;;;;;;;;;;;;489;;;;470;;232;;139;;;;512;;;;;;;;;;;;;;;;;;;;;;;;;;;;306;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;381;
43;Hannover-Land I;3;232926;232941;232926;232941;181650;176671;181650;176671;1554;1658;1274;1530;180096;175013;180376;175141;72282;77509;62828;72286;59552;67440;48783;57922;8958;6220;10890;7931;10725;8735;14335;14308;;;;;9325;4504;18869;8725;17217;5393;18366;7038;;2232;653;2516;;1619;406;1487;2037;1109;830;937;;;1516;1346;;;154;;;;1450;;;;;;;;;;;;;;;;59;37;;;;;;;;;;;;;;;;;;;;;;;;;;;250;;;;228;;;;47;;;;463;;;;;;;;;;;;;;;;;;;;;;;;;;;;249;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;252;;608;
44;Celle – Uelzen;3;214612;215285;214612;215285;162145;157058;162145;157058;1349;1562;1139;1361;160796;155496;161006;155697;68655;75369;58858;68568;48189;53237;40899;46931;7901;5655;9297;7085;9266;9563;12478;12071;;;;;8830;2091;16334;6478;16199;6591;17554;7722;;;476;2673;;1677;438;1511;1756;1313;888;982;;;1436;1173;;;145;;;;1331;;;;;;;;;;;;;;;;49;27;;;;;;;;;;;;;;;;;;;;;;;;;;;217;;;;176;;;;22;;;;232;;;;;;;;;;;;;;;;;;;;;;;;;;;;176;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;476;
45;Gifhorn – Peine;3;218556;217256;218556;217256;168861;161941;168861;161941;1488;1788;1288;1473;167373;160153;167573;160468;60345;67368;56567;64451;63294;69259;50445;57875;8827;6810;10166;7575;9342;7666;12094;11855;;;;;8062;2266;14004;5648;16501;;18289;5786;;3063;663;2833;;1937;463;1524;;934;581;671;;;1591;1242;;;123;;;;1454;;;;;;;;;;;;;;277;;97;46;;;;;;;;;;;;;;;;;;;;;;;;;;;208;;;;185;;;;17;;;;367;;;;;;;;;;;;;;;;;;;;;;;;;;;;259;;725;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;850;;962;
46;Hameln-Pyrmont – Holzminden;3;187377;191980;187377;191980;139780;137839;139780;137839;1311;2075;1107;1943;138469;135764;138673;135896;46181;53726;44424;50937;54130;57484;44190;49411;8220;6308;9130;7201;7511;8202;9995;11428;;;;;8034;2496;12531;5985;13143;4971;14054;5550;1250;2577;560;2152;;;411;1271;;;390;461;;;1285;1031;;;109;;;;878;;;;;;;;;;;;;;;;33;30;;;;;;;;;;;;;;;;;;;;;;;;;;;185;;;;125;;;;27;;;;159;;;;;;;;;;;;;;;;;;;;;;;;;;;;187;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;439;
47;Hannover-Land II;3;239923;240409;239923;240409;188495;182963;188495;182963;1729;2067;1479;1672;186766;180896;187016;181291;65815;75761;58984;69644;69104;78433;55161;65169;10124;7350;12305;8669;10693;9422;16290;16212;;;;;10092;2567;17925;7228;17570;;19392;6958;1677;3144;936;2737;;2247;508;1499;1691;1972;822;1044;;;1556;1429;;;163;;;;1679;;;;;;;;;;;;;;;;66;53;;;;;;;;;;;;;;;;;;;;;;;;;;;250;;;;312;;;;34;;;;396;;;;;;;;;;;;;;;;;;;;;;;;;;;;237;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;649;
48;Hildesheim;3;218349;219571;218349;219571;169613;164796;169613;164796;1752;2451;1316;1799;167861;162345;168297;162997;60457;68653;54871;63041;62448;66986;52077;59319;8502;7909;10932;8120;12691;13771;14806;14587;;;;;9330;2489;13876;5589;14433;;15695;5601;;;593;2937;;2537;468;1482;;;453;455;;;1693;1208;;;150;;;;1445;;;;;;;;;;;;;;;;56;31;;;;;;;;;;;;;;;;;;;;;;;;;;;320;;;;304;;;;32;;;;305;;;;;;;;;;;;;;;;;;;;;;;;;;;;221;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;627;
49;Salzgitter – Wolfenbüttel;3;206133;208990;206133;208990;157046;152599;157046;152599;1567;2208;1327;2618;155479;150391;155719;149981;45310;55720;45985;53593;66587;70080;50482;58881;9290;6524;11266;8461;6680;6630;10213;11013;;;;;7268;1582;12450;5142;18564;4548;19115;5938;1335;2119;684;2228;;1940;606;1796;;1248;531;1046;;;1591;1286;;;117;;;;1557;;;;;;;;;;;;;;;;74;39;;;;;;;;;;;;;;;;;;;;;;;;;;;207;;;;197;;;;31;;;;430;;;;;;;;;;;;;;;;;;;;;;;;;;;;183;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;445;;;558;
50;Braunschweig;3;192041;193799;192041;193799;147712;143752;147712;143752;1362;1649;1055;1467;146350;142103;146657;142285;45881;49710;42534;48419;55641;61952;38695;47741;11145;7119;13673;9527;11761;10117;17295;17614;;;;;7877;3243;14684;6214;11377;3894;12268;5092;;4012;905;4169;;1032;308;1038;;908;413;724;;;1423;1295;;;223;;;;2698;;;;;;;;;;;;;;344;116;130;100;;;;;;;;;;;;;;;;;;;;;;;;;;;394;;;;390;;;;30;;;;298;;;;;;;;;;;;;;;;;;;;;;;;;;;;296;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2324;;;352;
51;Helmstedt – Wolfsburg;3;183961;187425;183961;187425;137303;133269;137303;133269;1471;1927;1291;1494;135832;131342;136012;131775;47416;58760;47037;54188;51646;50826;40740;45837;8128;5731;9050;6440;6096;6666;8064;9004;;;;;7791;1839;10988;4796;13857;;14862;4892;;2972;592;2460;;2599;623;1840;;1049;455;643;;;1307;1182;;;198;;;;1229;;;;;;;;;;;;;;152;;82;38;;;;;;;;;;;;;;;;;;;;;;;;;;;138;;;;141;;;;36;;;;276;;;;;;;;;;;;;;;;;;;;;;;;;;;;194;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;746;900;;455;
52;Goslar – Northeim – Osterode;3;202963;208311;202963;208311;150977;149429;150977;149429;1605;2599;1187;2165;149372;146830;149790;147264;59391;61723;48131;55775;51953;62209;48016;55985;8525;6805;9521;7475;8128;7833;9929;10141;;;;;7438;2249;13734;6099;13937;;15132;5733;;2373;426;2141;;1967;595;1493;;1402;513;835;;;1512;1086;;;102;;;;1246;;;;;;;;;;;;;;;;36;33;;;;;;;;;;;;;;;;;;;;;;;;;;;199;;;;173;;;;27;;;;329;;;;;;;;;;;;;;;;;;;;;;;;;;;;169;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;269;;468;
53;Göttingen;3;220420;222102;220420;222102;170547;165814;170547;165814;1439;1974;1223;1511;169108;163840;169324;164303;56250;62558;51177;59000;59032;66192;47871;54410;9905;8581;14748;10432;19131;16740;19676;20076;;;;;7734;2633;15421;6667;11870;;13446;6121;1400;3219;785;3173;;1730;423;1280;1458;2187;1063;1427;;;1434;1178;;;163;;2159;;1776;;;;;;;;;;;;;;169;;76;67;;;;;;;;;;;;;;;;;;;;;;;;;;;401;;;;315;;;;72;;;;253;;;;;;;;;;;;;;;;;;;;;;;;;;;;224;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;472;
3;Niedersachsen;99;6124582;6117473;6124582;6117473;4681871;4491281;4681871;4491281;46554;53723;34895;46021;4635317;4437558;4646976;4445260;1777588;1946518;1623481;1825592;1557197;1699556;1275172;1470005;273064;189645;322979;223935;334541;299885;404825;391901;;;;;264801;82291;431405;185647;369663;82424;422362;165875;13214;60736;17683;74601;;41103;12034;37415;23538;29234;19178;21773;;;40487;33809;809;;4771;;12726;;41228;;;;;;;;;;;;;;1522;259;1616;1267;;;;;;;;;;;;;;;;;;;;;;;;;;;8084;;;;6349;;1331;;1100;;;;8146;;;;;;;;;;;;;;;;;;;;;;;;;;;;6076;;953;;;;;;;;;;;;;1022;;;;;;;;;;;;;;;;;;;4370;4885;;13440;
;
54;Bremen I;4;252496;256547;252496;256547;188064;184512;188064;184512;2627;2128;1688;1816;185437;182384;186376;182696;44912;55198;48458;55254;55656;69161;45729;60502;22666;15186;26425;18502;22117;25342;23568;25448;;;;;20702;4171;19138;7168;14290;5336;15539;6263;;4849;1007;4756;;1403;264;1400;;;488;398;;;;1641;;;;;4744;1531;3093;959;;;;;;;;;;;;;350;207;154;87;;;;;;;;;;;;;;;;;;;;;;;;;;;1124;;;;;;;;94;;;;314;;;;;;;;;;;;;;;;392;;;;;;;;;;;;589;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;318;
55;Bremen II – Bremerhaven;4;221655;227276;221655;227276;147855;148510;147855;148510;2249;2083;1908;1794;145606;146427;145947;146716;36363;42067;34951;41205;49463;64276;43215;56702;16739;13335;18204;14782;11269;12325;13165;14566;;;;;9755;2189;11918;4036;16645;5428;17705;6044;;3982;951;3699;487;2393;599;2240;939;;706;416;;;;1824;;;;;3009;;2418;590;;;;;;;;;;;;;150;;119;69;;;;;;;;;;;;;;;;;;;;;;;;;;;680;;;;;;;;80;;;;293;;;;;;;;;;;;;;787;;513;;;;;;;;;;;;430;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;432;;543;
4;Bremen;99;474151;483823;474151;483823;335919;333022;335919;333022;4876;4211;3596;3610;331043;328811;332323;329412;81275;97265;83409;96459;105119;133437;88944;117204;39405;28521;44629;33284;33386;37667;36733;40014;;;;;30457;6360;31056;11204;30935;10764;33244;12307;;8831;1958;8455;487;3796;863;3640;939;;1194;814;;;;3465;;;;;7753;1531;5511;1549;;;;;;;;;;;;;500;207;273;156;;;;;;;;;;;;;;;;;;;;;;;;;;;1804;;;;;;;;174;;;;607;;;;;;;;;;;;;;787;;905;;;;;;;;;;;;1019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;432;;861;
;
56;Prignitz – Ostprignitz-Ruppin – Havelland I;12;176002;180670;176002;180670;120228;114988;120228;114988;1813;2406;1820;1897;118415;112582;118408;113091;36481;37520;35215;40787;28061;33293;24884;28483;20849;27179;19447;25496;3547;3123;4231;3925;;;;;4226;1454;6555;2526;21296;;22183;5400;;2955;;2179;;3404;1022;2781;1461;98;1171;856;;;1428;;;;155;;1502;;1195;;;;;;;;;;;;;;374;;209;95;;;;;;;;;;;;;;;;;;;;;;;;;;;366;;;;;;;22;74;;;;273;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;618;3534;;563;
57;Uckermark – Barnim I;12;184716;188083;184716;188083;129870;120636;129870;120636;1994;2272;1857;2053;127876;118364;128013;118583;39102;45206;36160;43017;24843;27042;21650;26578;23589;32168;23870;28513;4714;3561;5187;4516;;;;;4859;1771;7021;2519;25804;;26605;6075;;3007;;2425;;4042;1267;3125;2361;1477;1518;1113;;;1744;;;;174;;2163;;1451;;;;;;;;;;;;;;;;86;118;;;;;;;;;;;;;;;;;;;;;;;;;;;567;;;;;;441;;230;;;;483;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90;;584;
58;Oberhavel – Havelland II;12;243108;236545;243108;236545;185012;168983;185012;168983;2722;3454;2402;2683;182290;165529;182610;166300;54455;62537;51968;60586;41423;46164;33856;39392;26839;32085;26091;30178;9685;8241;11684;9558;;;;;9514;2473;13912;4965;32762;;33987;11225;1174;5035;;3732;;5456;1476;3959;2684;2383;1770;1513;;;3703;;;;299;;3351;;2415;;;;;;;;;;;;;;;;100;157;;;;;;;;;;;;;;;;;;;;;;;;;;;613;;;;;;403;284;217;;;;519;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;871;;1035;
59;Märkisch-Oderland – Barnim II;12;226424;223734;226424;223734;170039;155091;170039;155091;2434;3529;2343;3432;167605;151562;167696;151659;47594;51398;42113;48700;26526;30938;25908;33220;37721;49896;34632;40055;8972;5140;7800;6277;;;;;7111;1681;11007;3366;33915;;34701;9682;;4037;;3528;;5136;1243;3753;4617;2232;2566;1899;;;3354;;;;296;;;;2303;;;;;;;;;;;;;;;;105;148;;;;;;;;;;;;;;;;;;;;;;;;;;;737;;;;;;1149;;445;;;;486;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1104;;1031;
60;Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I;12;183182;187129;183182;187129;128058;121487;128058;121487;2260;2389;1913;2164;125798;119098;126145;119323;39991;39112;35556;40620;31548;39596;26055;31368;19038;28275;20925;27318;4293;2888;5238;4488;;;;;5763;1849;8194;2707;21312;;22633;5778;728;2962;;2338;;3814;1132;3049;2559;;1520;913;;;2103;;;;192;;;;1337;;;;;;;;;;;;;;;;78;129;;;;;;;;;;;;;;;;;;;;;;;;;;;514;;;;;;566;;239;;;;429;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;602;;615;
61;Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II;12;247441;238626;247441;238626;195802;177548;195802;177548;2292;3004;1933;2257;193510;174544;193869;175291;48095;56236;48015;54471;50588;56428;35773;43710;31840;35443;35106;36805;15549;12655;19079;15939;;;;;14425;3036;17768;5642;23890;;26133;10000;1041;5293;;4683;;3033;682;1987;2484;;1606;1007;;;3656;;;;432;;4575;;3410;;;;;;;;;;;;;;;;146;262;;;;;;;;;;;;;;;;;;;;;;;;;;;1073;;;;;;551;;328;;;;662;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;472;2420;;785;
62;Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I;12;248708;246970;248708;246970;187607;174159;187607;174159;3229;3562;2697;3102;184378;170597;184910;171057;56607;63650;49982;59845;36148;46319;32565;38793;30278;36755;29217;36799;8127;6572;8617;7727;;;;;8910;2153;13718;4784;37358;;38915;10887;1226;4483;;3748;;5696;1468;4548;5032;3670;2652;2419;;;3456;;;;314;;;;2239;;;;;;;;;;;;;;;;90;183;;;;;;;;;;;;;;;;;;;;;;;;;;;610;;;;;;692;333;341;;;;726;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;966;;1324;
63;Frankfurt (Oder) – Oder-Spree;12;194759;199341;194759;199341;140051;135293;140051;135293;2092;3167;2053;2463;137959;132126;137998;132830;37344;44822;33888;44301;23598;32291;22702;29631;26401;37008;26202;32862;4504;5192;5896;5266;;;;;7008;2252;9241;2922;30261;;30477;8562;756;4977;;2911;1369;5584;1509;4058;2462;;1764;1219;;;2520;;;;280;;2582;;2016;;;;;;;;;;;;;;398;;231;198;;;;;;;;;;;;;;;;;;;;;;;;;;;581;;;;;;365;;244;;;;447;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;911;;;900;
64;Cottbus – Spree-Neiße;12;178676;187157;178676;187157;132113;125920;132113;125920;2390;2689;2085;2207;129723;123231;130028;123713;36855;44301;31366;44230;22019;29510;19729;26863;20359;24681;21456;27965;4319;3278;4093;4382;;;;;7426;2498;9941;2984;32776;;34905;8555;;2889;;2615;;4929;1437;3897;;;1106;1355;;;2401;;;;204;;3212;901;1898;;;;;;;;;;;;;;;;124;138;;;;;;;;;;;;;;;;;;;;;;;;;;;584;;;;;;501;245;296;;;;488;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2256;9999;;729;
65;Elbe-Elster – Oberspreewald-Lausitz II;12;168543;177689;168543;177689;123365;118680;123365;118680;2517;2668;2211;2165;120848;116012;121154;116515;35633;47454;33576;46044;20142;26132;18700;23136;19583;27137;18775;25321;3543;2899;3146;3104;;;;;6492;2085;8128;2950;29830;;30564;6911;;3834;;2626;;5608;1757;4421;4887;;2089;1122;;;1878;;;;150;;;;1207;;;;;;;;;;;;;;;;108;153;;;;;;;;;;;;;;;;;;;;;;;;;;;421;;;;;;;323;100;;;;555;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;738;540;;727;
12;Brandenburg;99;2051559;2065944;2051559;2065944;1512145;1412785;1512145;1412785;23743;29140;21314;24423;1488402;1383645;1490831;1388362;432157;492236;397839;482601;304896;367713;261822;321174;256497;330627;255721;311312;67253;53549;74971;65182;;;;;75734;21252;105485;35365;289204;;301103;83075;4925;39472;;30785;1369;46702;12993;35578;28547;9860;17762;13416;;;26243;;;;2496;;17385;901;19471;;;;;;;;;;;;;;772;;1277;1581;;;;;;;;;;;;;;;;;;;;;;;;;;;6066;;;;;;4668;1207;2514;;;;5068;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4995;20126;;8293;
;
